School Name,Region?,Metro Area,Setting?,Gender Setting,HBCU,Primary Focus,Undergraduate Size,Student Living,Religious Affiliation,Budget Category,Tuition & Fees,Room & Board,Total COA (no aid),Aid Type,Intl Students w/ Aid (#), Intl Students percentage with financial aid ,Avg Aid Awarded,Avg COA After Aid,Meets Full Need,Largest Merit Scholarship,Scholarship Name,Scholarship Info,Tuition After Largest Scholarship,Total COA After Largest Scholarship,How to Apply for Aid,Early Plan,ED2 Offered,Tags
Appalachian State University,Southeast,,Town: Distant,Coeducational,No,Professional,Very High,On-campus,0-None,,25768,12868,42636,Merit,,,,,No,Full ride,Chancellor's Scholarship,"The Chancellor's Scholarship is the oldest and most distinguished full scholarship at Appalachian State University. It is also the most academically-competitive merit-based scholarship, designed for students with ambitious academic goals.",0,0,Automatic consideration,Early Action Only,,early_admission
Aquinas College,Midwest (Great Lakes),,City: Midsize,Coeducational,No,Balanced,Very High,On-campus,4-Moderately,25000,40218,11680,55898,Both,57,0.98,30307,23207,No,,,,,TBD,Unclear,,,affordable
Arcadia University,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,,49610,14380,67990,Merit,No data,,No data,,No,28000,Distinguished Scholarship,The highest academic merit award. Students are automatically considered for this scholarship when they apply for admission. No separate application is required. Renewable for four years.,21610,39990,Automatic consideration,,,generous_aid
Arizona State University-Tempe,Southwest,"Phoenix, AZ",City: Midsize,Coeducational,No,Balanced,High,On-campus,0-None,45000,33139,16712,53851,Merit,2520,0.51,12182,40102,No,17500,New American University Scholarship,Awarded to international students based on a holistic review of their academic record (GPA) and English proficiency test scores. No separate application is required; students are automatically considered upon admission.,15639,36351,Automatic consideration,,,
Arkansas State University,South (Central),,City: Small,Coeducational,No,Professional,High,Off-campus,0-None,25000,13826,10100,27926,Merit,334,0.54,7063,20863,No,,,,,TBD,Unclear,,,affordable
Auburn University,Southeast (Deep South),,City: Small,Coeducational,No,Professional,High,On-campus,1-Historically,,34922,16626,55548,Merit,,,,,No,17000,Presidential Scholarship,For non-resident students. Consideration is automatic for students who apply for admission by the deadline. Selection is based on high school GPA and standardized test scores (ACT/SAT).,17922,38548,Automatic consideration,Early Action Only,,early_admission
Auburn University at Montgomery,Southeast (Deep South),,City: Midsize,Coeducational,No,Professional,High,On-campus,0-None,25000,25960,7368,37328,Merit,163,0.84,8657,22803,No,2000,AUM Scholarship,For international undergraduate students. Freshmen are considered based on high school GPA or language test scores. Transfer students are considered based on their college GPA. No separate application needed.,23960,35328,,,,affordable
Augustana College,Midwest (Great Lakes),,City: Small,Coeducational,No,Balanced,Very High,On-campus,2-Slightly,35000,51598,13070,68668,Both,345,0.85,34458,31542,No,30000,Presidential Scholarship,The highest Merit Scholarship awarded to first-year students at the time of admission. No separate application is necessary. Renewable with a cumulative GPA of 3.0.,21598,38668,Automatic consideration,Both,,early_admission
Austin College,South (Central),"Dallas, TX",City: Small,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,30000,48655,13342,65997,Merit,13,1,34242,29316,No,32000,Presidential Scholarship,"A top merit-based scholarship. Students are automatically considered with their application for admission. Selection is based on academic achievement, leadership, and service.",16655,33997,Automatic consideration,Both,,early_admission; affordable
Babson College,Northeast (New England),"Boston, MA",Suburb: Large,Coeducational,No,Professional,High,On-campus,0-None,35000,57152,21550,82702,Both,91,0.12,47628,33190,Yes (Need-aware),Full ride+stipend,Global Scholarship plus need-based supplement,"A four-year, full-tuition scholarship for international students. Admission is need-aware. Requires the CSS PROFILE for consideration. Aims to admit highly qualified candidates from around the world.",0,0,Automatic consideration,Both,Yes,early_admission
Baker University,Midwest (Great Plains),,Rural: Distant,Coeducational,No,Professional,High,On-campus,2-Slightly,25000,35200,11250,50450,Merit,33,0.68,26765,21755,No,,,,,,Unclear,,,affordable
Baldwin Wallace University,Midwest (Great Lakes),,Suburb: Large,Coeducational,No,Balanced,High,On-campus,1-Historically,40000,39832,13774,57606,Merit,6,0.75,19019,36247,No,15000,Baldwin Scholarship,A merit-based scholarship for first-year undergraduate students. Students are automatically considered upon admission to the university. No separate application is required.,24832,42606,Automatic consideration,,,
Ball State University,Midwest (Great Lakes),,City: Small,Coeducational,No,Professional,High,On-campus,0-None,25000,29630,12334,45964,Merit,104,1,21205,23625,No,16000,Global Honors Scholarship,This appears to be the former name. The current top merit award for international students is the Global Distinction Scholarship. Students are automatically considered upon admission. Renewable with a 2.5 GPA.,13630,29964,Automatic consideration,,,affordable
Bard College,Northeast (Mid-Atlantic),New York City,Rural: Fringe,Coeducational,No,Arts and Sciences,High,On-campus,1-Historically,30000,67366,19510,90876,Need,211,0.63,58322,28270,Yes (Need-aware),,,,,,,,,generous_aid; affordable
Barnard College,Northeast (Mid-Atlantic),New York City,City: Large,Women's,No,Arts and Sciences,Exclusively,On-campus,0-None,50000,69888,19020,92908,Need,65,0.14,43317,47511,Yes (Need-aware),,,,,,,Early Decision only,,early_admission
Barton College,Southeast,,Town: Fringe,Coeducational,No,Professional,Very High,On-campus,2-Slightly,25000,37000,12024,53024,Both,50,1,28838,23812,No,,,,,TBD,Unclear,,,affordable
Bates College,Northeast (New England),,City: Small,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,20000,66590,18780,89370,Need,96,0.58,69714,15668,Yes (Need-aware),,,,,,Unclear,Early Decision only,Yes,generous_aid; affordable
Baylor University,South (Central),"Dallas, TX",City: Midsize,Coeducational,No,Professional,High,On-campus,5-Very,50000,58100,15922,78022,Merit,297,0.67,24763,48316,No,20000,Invitation to Excellence,An invitation-only event for high-achieving students who apply by the priority deadline. Attendees receive a scholarship. Selection is based on a holistic review of the admission application.,38100,58022,By invitation only,Both,,early_admission
Belmont University,Southeast,,City: Large,Coeducational,No,Professional,High,On-campus,4-Moderately,35000,42540,15010,61550,Merit,50,0.74,27583,32027,No,,,,,TBD,Unclear,,,
Beloit College,Midwest (Great Lakes),,City: Small,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,30000,60886,11264,76150,Both,128,1,44747,28547,No,40000,Presidential Scholarship,The highest Merit Scholarship offered. All applicants for admission are automatically considered. Based on exceptional scholastic achievement.,20886,36150,Automatic consideration,Early Action Only,,early_admission; affordable
Benedict College,Southeast (Deep South),,City: Midsize,Coeducational,Yes,Professional,Very High,On-campus,4-Moderately,,18348,7146,29494,Pending,No data,,No data,,,,,,,,Unclear,,,generous_aid
Bennington College,Northeast (New England),,Town: Distant,Coeducational,No,Arts and Sciences,High,On-campus,0-None,30000,66262,19108,89370,Both,114,0.93,60779,26505,No,unknown,,,,TBD,Unclear,Both,,early_admission; generous_aid; affordable
Bentley University,Northeast (New England),"Boston, MA",City: Small,Coeducational,No,Professional,High,On-campus,0-None,60000,61480,20140,85620,Merit,272,0.45,21364,59986,No,50% tuition,President Scholarship and others,The President Scholarship is the most prestigious merit award. Students are automatically considered based on their admission application. No separate application needed. Selection is based on academic excellence.,30740,54880,Unclear,Early Decision only,Yes,early_admission
Berea College,Southeast,,Town: Distant,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,95000,49326,7892,61218,Both,,1,,,Yes (Need-aware),Full ride,Automatic,Berea College provides 100% funding to all enrolled international students for the first year of enrollment. This combines financial aid and scholarships. A separate application is not required.,0,4000,Automatically Awarded,Early Action Only,,early_admission; generous_aid
Berry College,Southeast (Deep South),,Suburb: Small,Coeducational,No,Balanced,Very High,On-campus,1-Historically,20000,41486,15094,60580,Merit,9,1,39577,19069,No,not specified,Presidential Scholarship,"A competitive, premier scholarship program. Requires a separate application after being admitted to Berry. Finalists are invited to an on-campus competition.",,,Automatic consideration,Early Action Only,,early_admission; affordable
Bethel College,Midwest (Great Plains),,Town: Distant,Coeducational,No,Professional,Exclusively,On-campus,2-Slightly,,35014,10755,49769,Merit,21,1,21427,,No,11000,Thresher Scholarship,This is an academic scholarship based on high school GPA. Students are automatically considered when they are admitted. No separate application is required.,24014,38769,Automatic consideration,,,
Bethune-Cookman University,Southeast,,City: Large,Coeducational,Yes,Balanced,Very High,On-campus,3-Somewhat,15000,14794,10396,29190,Both,43,0.84,16796,12394,No,Full ride+stipend,Presidential Scholarship,"Based on the provided PDF, this is the highest-tier academic scholarship. Awarded based on specific high school GPA and SAT/ACT scores. Automatic consideration with admission application.",0,3500,Automatic consideration,,,affordable
Biola University,West Coast,"Los Angeles, CA",Suburb: Large,Coeducational,No,Balanced,Majority,Off-campus,6-Primarily,40000,48984,13130,66114,Merit,197,0.86,22692,39246,No,22000,President Scholarship,"The highest academic scholarship for incoming freshmen, based on GPA and test scores (if submitted). Students are automatically considered upon admission. Renewable based on maintaining a specific GPA.",26984,44114,Automatic consideration,Early Action Only,,early_admission
Boise State University,West (Rocky Mountains),,City: Midsize,Coeducational,No,Professional,High,On-campus,0-None,45000,27788,14884,46672,Merit,85,0.62,6631,40955,No,18000,Global Excellence Award,"A competitive, merit-based scholarship for new international undergraduate students. Requires a separate scholarship application, essays, and letters of recommendation.",9788,28672,Requires application,,,
Boston College,Northeast (New England),"Boston, MA",City: Small,Coeducational,No,Arts and Sciences,Majority,On-campus,3-Somewhat,95000,70702,18916,93618,Merit,No data, No data ,No data,No data,No,Full Tuition,Gabelli Presidential Scholars Program,"A highly competitive, 15-person undergraduate Merit Scholarship program. Requires a separate application. Focuses on academic excellence, leadership, and community service.",0,22916,Automatic consideration,Early Decision only,Yes,early_admission; generous_aid
Boston University,Northeast (New England),"Boston, MA",City: Large,Coeducational,No,Balanced,Majority,On-campus,1-Historically,45000,68102,19020,91122,Merit,225,0.06,45811,41467,No,Full Tuition,Trustee Scholarship,"BU's most prestigious Merit Scholarship. Requires a separate application with an additional essay. Awarded to students with exceptional academic credentials, leadership, and unique talents.",0,23020,Requires application,Early Decision only,Yes,early_admission; global_top_200
Bowdoin College,Northeast (New England),,Town: Fringe,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,10000,67832,18488,90320,Need,83,0.66,77156,9444,Yes (Need-blind),,,,,,,Early Decision only,Yes,early_admission; generous_aid; affordable
Bowling Green State University-Main Campus,Midwest (Great Lakes),,Town: Fringe,Coeducational,No,Professional,High,On-campus,0-None,20000,21900,12166,38066,Merit,148,0.98,17248,19914,No,Full Tuition,Sidney A. Ribeau President's Leadership Academy,A competitive scholarship for students with a passion for leadership and learning. Requires a separate application and an on-campus interview for finalists. Focuses on leadership experience and potential.,0,16166,Requires application,,,affordable
Bradley University,Midwest (Great Lakes),,City: Midsize,Coeducational,No,Professional,High,On-campus,1-Historically,25000,42160,13500,59660,Merit,84,0.99,33693,22837,No,27000,Presidential Scholarship,The most prestigious merit-based scholarship. Awarded to the highest-achieving new students. Automatic consideration based on the application for admission.,15160,32660,Automatic consideration,,,affordable
Brandeis University,Northeast (New England),"Boston, MA",City: Small,Coeducational,No,Arts and Sciences,Majority,On-campus,2-Slightly,45000,68080,18584,90664,Both,153,0.2,45081,42961,Yes (Need-aware),Demonstrated Need,Wein International Scholarship,"For international students with strong academic records and a history of leadership. Requires a separate application, including a nomination form and essays. Focuses on students who will contribute to the campus community.",0,0,Requires application,Early Decision only,Yes,early_admission
Bridgewater College,Southeast,,Suburb: Small,Coeducational,No,Balanced,Very High,Off-campus,2-Slightly,25000,16090,14850,34940,Both,46,0.65,37434,22286,,,,,,,Unclear,Early Action Only,,early_admission; affordable
Brigham Young University,West (Rocky Mountains),,City: Midsize,Coeducational,No,Balanced,Very High,On-campus,6-Primarily,15000,6688,10396,21084,Merit,630,0.7,6542,13674,No,Full Tuition,Russell M. Nelson Scholarship,"The most prestigious scholarship for entering freshmen. All students who complete the general scholarship application are considered. Selection is based on academic excellence, leadership, and service.",0,14396,Automatic consideration,,,affordable
Brown University,Northeast (New England),,City: Midsize,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,15000,71312,17444,92756,Need,265,0.3,78765,10063,Yes (Need-blind),,,,,,Automatically Awarded,Early Decision only,,early_admission; generous_aid; affordable; global_top_203; ivy_league
Bryant University,Northeast (New England),,Suburb: Large,Coeducational,No,Professional,Very High,On-campus,0-None,,52677,17860,74537,Merit,148,0.86,30937,,No,40000,Academic Scholarship,"Merit-based scholarships, including the top-tier President Scholarship, are awarded based on the admission application. No separate application is needed. Awards are based on academic achievement.",12677,34537,Automatic consideration,Both,,early_admission
Bryn Mawr College,Northeast (Mid-Atlantic),"Philadelphia, PA",Suburb: Large,Women's,No,Arts and Sciences,High,On-campus,1-Historically,20000,65920,19400,89320,Need,75,0.42,69529,15721,Yes (Need-aware),,,,,,Unclear,Early Decision only,Yes,early_admission; generous_aid; affordable
Bucknell University,Northeast (Mid-Atlantic),,Town: Distant,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,25000,67812,16924,88736,Both,114,0.68,63010,21880,No,30000,Presidential Fellowships,A research-focused program for top students. Students receive a stipend for a summer research project with a faculty mentor. Automatic consideration for top applicants; no separate application required.,37812,58736,Requires application,Early Decision only,Yes,early_admission; generous_aid; affordable
Butler University,Midwest (Great Lakes),,City: Large,Coeducational,No,Professional,High,On-campus,2-Slightly,,47560,17250,68810,Merit,,,,,No,25000,Academic Scholarships,"International students are automatically considered for merit-based scholarships upon admission. Awards are based on the strength of the application, including academic performance. No separate application required.",22560,43810,Automatic consideration,Early Action Only,,early_admission
Cal Poly-Pomona (California State Polytech. U.),West Coast,"Los Angeles, CA",Suburb: Large,Coeducational,No,Professional,Very High,On-campus,0-None,,19318,16682,40000,,,,,,No,,,,,,,,,
Cal Poly-San Luis Obispo (Cal. Polytech. State,West Coast,,Suburb: Small,Coeducational,No,Professional,Very High,Off-campus,0-None,45000,20112,18225,42337,Merit,44,0.18,9743,42472,No,N/A (enrolled),,,,,Requires application,,,
Caldwell University,Northeast (Mid-Atlantic),New York City,Suburb: Large,Coeducational,No,Balanced,High,On-campus,3-Somewhat,35000,40848,14188,59036,Merit,245,1,26649,30577,No,,,,,,Unclear,Early Action Only,,early_admission
California Baptist University,West Coast,"Los Angeles, CA",City: Large,Coeducational,No,Professional,High,On-campus,5-Very,30000,41228,12140,57368,Both,36,0.23,28364,26986,No,,,,,TBD,Unclear,,,affordable
California College of the Arts,West Coast,SF/Silicon Valley,City: Large,Coeducational,No,Professional,High,On-campus,0-None,,57946,21165,83111,Pending,No data,,No data,,,,,,,,Unclear,,,generous_aid
California Institute of Technology,West Coast,"Los Angeles, CA",City: Midsize,Coeducational,No,Arts and Sciences,Minority,Off-campus,0-None,15000,65898,20283,90181,Need,63,0.5,74155,12603,Yes (Need-aware),,,,,,,Restricted Early Action Only,,early_admission; generous_aid; affordable; global_top_200
California State University-east Bay,West Coast,SF/Silicon Valley,Suburb: Large,Coeducational,No,Balanced,High,Off-campus,0-None,,18935,15402,38337,Pending,No data,,No data,,No,,,,,,Unclear,,,generous_aid
California State University-Fresno,West Coast,,City: Large,Coeducational,No,Balanced,Very High,Off-campus,0-None,95000,20780,17998,42778,Merit,, No data ,No data,No data,No,OOS waiver,Dean's Scholarship Tuition Waiver,"A scholarship for newly admitted international undergraduate students. Requires a separate application process, including an essay. Awarded based on academic merit.",7340,29338,Automatic consideration,,,generous_aid
California State University-Fullerton,West Coast,"Los Angeles, CA",Suburb: Large,Coeducational,No,Balanced,Very High,Off-campus,0-None,40000,20070,18898,42968,Limited,574,0.81,2755,38546,No,N/A (enrolled),,,,,Requires application,,,
California State University-Long Beach,West Coast,"Los Angeles, CA",City: Large,Coeducational,No,Balanced,High,Off-campus,0-None,,18294,16666,38960,Limited,410,0.27,4358,,No,N/A (enrolled),,,,,Requires application,,,
California State University-Los Angeles,West Coast,"Los Angeles, CA",City: Large,Coeducational,No,Balanced,High,Off-campus,0-None,,16356,18658,39014,Limited,36,0.04,10413,,No,N/A (enrolled),,,,,Requires application,,,
California State University-Northridge,West Coast,"Los Angeles, CA",City: Large,Coeducational,No,Balanced,High,Off-campus,0-None,,18975,20306,43281,,,,,,No,,,,,,,,,
California State University-Sacramento,West Coast,SF/Silicon Valley,City: Large,Coeducational,No,Balanced,Very High,Off-campus,0-None,,20618,16042,40660,,,,,,No,,,,,,,,,
California State University-San Bernardino,West Coast,"Los Angeles, CA",City: Midsize,Coeducational,No,Balanced,High,On-campus,0-None,,18173,15002,37175,,159,0.78,4337,,No,,,,,,,,,
Calvin University,Midwest (Great Lakes),,City: Midsize,Coeducational,No,Balanced,Very High,Off-campus,4-Moderately,30000,39350,12120,55470,Both,366,0.98,28325,26295,No,20000,Trustee Scholarship,The highest merit-based academic scholarship. Students are automatically considered when they apply for admission. Based on unweighted GPA and test scores (if provided). Renewable.,19350,35470,Automatic consideration,,,affordable
Cameron University,South (Central),,City: Small,Coeducational,No,Balanced,Very High,On-campus,0-None,15000,16320,7381,27701,Merit,54,0.6,17617,11586,No,,,,,,Unclear,,,affordable
Campbell University,Southeast,,Town: Fringe,Coeducational,No,Professional,Majority,On-campus,5-Very,,41600,15200,60800,Pending,No data,,No data,,,,,,,,Unclear,,,generous_aid
Canisius College,Northeast (Mid-Atlantic),,City: Large,Coeducational,No,Balanced,High,On-campus,3-Somewhat,25000,34200,13560,51760,Merit,106,1,26969,22911,No,unknown,,,,TBD,Unclear,Early Action Only,,early_admission; affordable
Carleton College,Midwest (Great Plains),,Town: Distant,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,25000,68892,17586,90478,Both,90,0.46,62637,23530,Yes (Need-aware),Full ride+stipend,Starr Scholarship,Provides comprehensive financial support for talented students from Asia. Applicants must demonstrate exceptional academic and personal promise. A separate application is not required but students must indicate interest.,0,2000,Automatic consideration,Early Decision only,,early_admission; generous_aid; affordable
Carnegie Mellon University,Northeast (Mid-Atlantic),,City: Large,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,,65636,18166,87802,,,,,,No,,,,,,Automatic consideration,Early Decision only,,early_admission; global_top_200
Carroll College,West (Rocky Mountains),,City: Small,Coeducational,No,Balanced,Very High,On-campus,3-Somewhat,15000,41484,11548,57032,Both,22,,41013,14963,,,,,,,Unclear,,,affordable
Carroll University,Midwest (Great Lakes),,City: Small,Coeducational,No,Professional,High,On-campus,2-Slightly,25000,38890,11530,54420,Merit,77,0.92,29776,24794,No,Full Tuition,McAllister Scholarship,"A competitive, full-tuition scholarship. Requires a separate application, essay, and an on-campus competition for finalists. Focuses on academics, leadership, and service.",0,15530,By invitation only,Early Decision only,,early_admission; affordable
Case Western Reserve University,Midwest (Great Lakes),,City: Large,Coeducational,No,Balanced,Minority,On-campus,0-None,50000,66605,18430,89035,Both,294,0.36,37878,47840,Yes (Need-aware),Full Tuition,Scholarship Competitions,"Offers various competitive scholarships, including some full-tuition awards. Requires a separate application and participation in a scholarship competition weekend for finalists.",0,22430,Requires application,Both,Yes,early_admission; global_top_200
Catawba College,Southeast,,Suburb: Large,Coeducational,No,Balanced,Very High,On-campus,2-Slightly,20000,34300,13200,51500,Both,64,0.99,33002,16948,No,Full Tuition,"Socratic, Spirit of Catawba, Hobgood Scholarships",These are part of the Catawba College Scholars Program. Requires nomination (self-nomination is accepted) and a separate application. Finalists are invited to compete on campus.,0,17200,Requires nomination,Early Action Only,,early_admission; affordable
Central Michigan University,Midwest (Great Lakes),,Town: Distant,Coeducational,No,Professional,High,On-campus,0-None,25000,15480,12564,32044,Merit,126,0.47,5502,24988,No,Full ride,Centralis Scholar Award,"This appears to be primarily for domestic students. International students are considered for the International President's Award, a merit-based scholarship, upon admission. No separate application needed.",0,4000,Requires application,,,affordable
Central Washington University,West Coast,,Town: Distant,Coeducational,No,Professional,Very High,On-campus,0-None,40000,27511,16480,47991,Merit,596,0.9,7630,39455,No,11000,International Student Scholarships,A range of scholarships are available for new and continuing international students. Requires a separate general scholarship application through the university's scholarship portal.,16511,36991,Automatic consideration,,,
Centre College,Southeast,,Town: Distant,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,25000,52820,13940,70760,Both,64,1,47939,20381,No,Full ride+stipend,Lincoln Scholarship,A premier scholarship program for students who demonstrate high academic achievement and leadership. Automatic consideration for top applicants; selected students are invited to apply.,0,2000,Requires application,Both,Yes,early_admission; affordable
Chapman University,West Coast,"Los Angeles, CA",City: Midsize,Coeducational,No,Balanced,High,On-campus,2-Slightly,65000,64984,17814,86798,Merit,123,0.56,19541,64621,No,36000,Not specified,"All undergraduate applicants, including international students, are automatically considered for merit-based scholarships based on their admission application. No separate application is required.",28984,50798,Automatic consideration,Both,,early_admission
Chatham University,Northeast (Mid-Atlantic),,City: Large,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,40000,45126,13600,62726,Both,35,0.9,24940,37194,No,Full Tuition,Presidential Scholarship and Rachel Carson Scholarship,"Both are competitive, full-tuition scholarships. A separate application is required for each, and finalists must attend a Scholarship Interview Day. Open to first-year international students.",0,17600,Requires application,,,
Christian Brothers University,Southeast,,City: Large,Coeducational,No,Professional,High,On-campus,3-Somewhat,25000,38420,9410,51830,Merit,72,0.79,31735,20296,No,,,,,,Unclear,,,affordable
Claremont McKenna College,West Coast,"Los Angeles, CA",Suburb: Large,Coeducational,No,Arts and Sciences,Very High,On-campus,0-None,20000,67980,20830,92810,Both,42,0.21,71102,16698,Yes (Need-aware),Full Tuition,Seaver Scholars and Interdisciplinary Science Scholars,These are merit-based scholarship programs for students with exceptional academic and leadership potential. No separate application is required; candidates are selected from the pool of regular decision applicants.,0,24830,Automatic consideration,Early Decision only,,early_admission; generous_aid; affordable
Clark University,Northeast (New England),"Boston, MA",City: Midsize,Coeducational,No,Arts and Sciences,Majority,On-campus,0-None,45000,58467,12500,74967,Both,105,0.67,27722,43128,No,Full ride,Presidential Scholarship,One of Clark's most prestigious scholarships. No separate application required; students are selected based on the strength of their admission application. Focuses on students who will be leaders at Clark and beyond.,0,4000,Requires application,Both,,early_admission
Clarkson University,Northeast (Mid-Atlantic),,Town: Remote,Coeducational,No,Professional,High,On-campus,0-None,45000,59398,19094,82492,Merit,94,0.87,37448,41518,No,,,,,TBD,Unclear,Early Decision only,,early_admission
Clemson University,Southeast (Deep South),,Suburb: Midsize,Coeducational,No,Professional,High,On-campus,0-None,,40866,13284,58150,,,,,,No,,,,,,,Early Action Only,,early_admission
Coastal Carolina University,Southeast (Deep South),,City: Small,Coeducational,No,Balanced,Very High,On-campus,0-None,20000,29628,13100,46728,Merit,72,0.95,26693,18353,No,18000,Presidential Scholarship,The highest merit award for international students. Awarded automatically based on academic criteria (GPA and test scores) from the admission application. No separate application is needed.,11628,28728,Automatic consideration,Both,,early_admission; affordable
Coe College,Midwest (Great Plains),,City: Midsize,Coeducational,No,Arts and Sciences,Exclusively,On-campus,2-Slightly,,54666,11790,70456,Merit,73,1,40683,,No,Full Tuition,Distinguished Trustee Scholarship,The top Merit Scholarship awarded to first-year students. Students are automatically considered based on their application for admission.,0,15790,By invitation only,Early Action Only,,early_admission
Coker College,Southeast (Deep South),,Town: Distant,Coeducational,No,Balanced,High,On-campus,1-Historically,,31854,9892,45746,Pending,No data,,No data,,,,,,,,Unclear,,,generous_aid
Colby College,Northeast (New England),,Town: Remote,Coeducational,No,Arts and Sciences,Exclusively,On-campus,1-Historically,15000,69600,17890,91490,Need,189,0.8,72720,15000,Yes (Need-aware),,,,,,Unclear,Early Decision only,Yes,early_admission; generous_aid; affordable
Colby-Sawyer College,Northeast (New England),"Boston, MA",Rural: Remote,Coeducational,No,Professional,Very High,On-campus,1-Historically,,19126,17364,40490,Merit,No data,,No data,,No,10000,Merit Scholarship,"All applicants are automatically considered for merit-based scholarships, such as the Founder's Scholarship, based on their academic record. No separate application is necessary.",9126,30490,Automatic consideration,Early Action Only,,early_admission; generous_aid
