Common App Member,School Type,Deadline ED,Deadline EDII,Deadline EA,Deadline EAII,Deadline REA,Deadline RD/ Rolling,App Fee - US Citizen (USD),App Fee - INTL (USD),Personal Essay Required?,Courses & Grades,Supplements - Portfolio?,Supplements - Writing,Test Policy,SAT/ACT Tests Used,INTL,Recommendation - Teacher Evaluations Number required,Recommendation - Other Evaluations Number required,Mid Year Report required,Counselor Recommendation required,Saves Forms
Belmont University,Coed,,,11/1/2025,12/1/2025,,3/1/2026,$50,$50,Yes,,,,N,None,See Website,,,,,Y
Beloit College,Coed,,,11/1/2025,12/1/2025,,4/1/2026,$0,$0,Yes,,COL,,N,None,See Website,,,,,Y
"Benedict College - Columbia, SC",Coed,,,,,,6/30/2026,$0,$0,,,,,F,SAT without essay or ACT without science or writing,See Website,,,,,
Benedictine College,Coed,,,11/15/2025,,,12/1/2025,$0,$50,,,,Yes,F,See Website,D or I or T,,,,,Y
Benedictine University,Coed,,,,,,7/28/2026,$0,$0,,,,,S,See Website,D or I or T,,,,,
Bennington College,Coed,11/1/2025,1/10/2026,11/1/2025,,,4/7/2026,$0,$0,Yes,,,,N,None,D or I or T,2,,Y,Y,Y
Bentley University,Coed,11/15/2025,1/15/2026,,,,1/15/2026,$75,$75,Yes,,,,F,See Website,C or D or I or T,1,,Y,Y,Y
Berry College,Coed,,,11/1/2025,,,1/15/2026,$0,$0,Yes,,,,I,None,D or I or T,,,,,Y
Bethany College,Coed,,,,,,Rolling,$0,$0,,,,Yes,N,None,See Website,,,,,Y
Bethany Lutheran College,Coed,,,11/25/2025,,,Rolling,$0,$25,,,COL,,F,See Website,See Website,,,,,
Bethel University (MN),Coed,,,,,,7/28/2026,$0,$0,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,Y
Bethel University-TN,Coed,,,,,,7/25/2026,$30,$30,,Yes,,,N,None,D or T,,,,,
Bishop's University,Coed,,,,,,Rolling,$75,$75,,,,,N,None,See Website,,,,,Y
Black Hawk College,Coed,,,,,,Rolling,$20,$20,,,,,N,None,See Website,,,,,
Blackburn College,Coed,,,,,,Rolling,$0,$0,,,,,S,None,T,,,,,Y
Bluffton University,Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,Y
Boston College,Coed,11/1/2025,1/2/2026,,,,1/2/2026,$80,$80,Yes,,SR,,N,See Website,See Website,2,,Y,Y,
Boston University,Coed,11/1/2025,1/5/2026,,,,1/5/2026,$80,$80,Yes,,SR,,N,See Website,See Website,1,,Y,Y,Y
Bowdoin College,Coed,11/15/2025,1/5/2026,,,,1/5/2026,$65,$65,Yes,,,,N,See Website,See Website,1,,Y,Y,Y
Bowling Green State University,Coed,,,2/19/2026,,,Rolling,$45,$75,,,,,S,See Website,See Website,,,,,Y
Bradley University,Coed,,,11/1/2025,,,Rolling,$0,$0,Yes,,,,N,See Website,See Website,,,,,Y
Brandeis University,Coed,11/3/2025,1/15/2026,11/3/2025,,,1/15/2026,$80,$80,Yes,,SR,,N,None,See Website,1,,Y,Y,Y
Brenau University,Coordinate,,,,,,Rolling,$0,$25,,,,,N,See Website,I or T,,,,,Y
Brescia University,Coed,,,,,,Rolling,$0,$0,,Yes,,,N,None,D or I or T,,,,,
Brevard College,Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT with science,See Website,,,,,
Briar Cliff University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,C or D or I or T or P,,,,,
Bridgewater College,Coed,,,11/15/2025,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,
Bridgewater State University,Coed,,,11/17/2025,,,2/15/2026,$50,$50,,,,,N,See Website,D or I or T or P,,,,,Y
Brown University,Coed,11/1/2025,,,,,1/5/2026,$80,$80,Yes,,SR,Yes,A,See Website,See Website,2,,Y,Y,Y
Bryant University,Coed,11/1/2025,1/15/2026,11/15/2025,,,2/15/2026,$50,$50,Yes,,,,F,See Website,See Website,,,Y,Y,Y
Bryn Athyn College,Coed,,,11/15/2025,,,2/1/2026,$0,$0,,,,,N,SAT without essay or ACT with science and writing,D or I or T,,,,Y,Y
Bryn Mawr College,Women,11/15/2025,1/1/2026,,,,1/15/2026,$0,$0,Yes,,SR,Yes,N,None,D or I or T,2,,Y,Y,Y
Bucknell University,Coed,11/1/2025,1/10/2026,,,,1/10/2026,$50,$50,Yes,,,,S,See Website,See Website,1,,Y,Y,
Buena Vista University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,I or T or P,,,,,
Bushnell University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,I or T,,,,,
Butler University,Coed,11/1/2025,,11/1/2025,,,2/1/2026,$50,$50,Yes,,,,N,See Website,See Website,,,,,Y
Cairn University,Coed,,,,,,Rolling,$25,$25,,,COL,,F,See Website,D or I or T,,,,,
Caldwell University,Coed,,,12/1/2025,2/1/2026,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,Y
California College of the Arts,Coed,,,11/15/2025,,,Rolling,$70,$70,,,,,N,None,See Website,1,,,,Y
California Institute of Technology (Caltech),Coed,,,,,11/1/2025,1/5/2026,$75,$75,Yes,,,,A,See Website,D or I or T,2,,Y,,
California Lutheran University,Coed,,,11/15/2025,,,1/15/2026,$25,$25,Yes,,,,N,None,D or I or T or P,1,,,Y,Y
Calumet College of St. Joseph,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Calvin University,Coed,,,,,,Rolling,$35,$35,Yes,,,,S,See Website,See Website,,,,,Y
Campbell University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T,,,,,
Canisius University,Coed,,,12/1/2025,,,7/27/2026,$0,$0,Yes,,,,N,None,See Website,,,,,Y
Capital University,Coed,,,,,,Rolling,$0,$0,,,,,S,None,See Website,,,,,
Capitol Technology University,Coed,,,,,,Rolling,$0,$50,Yes,,,,N,None,See Website,,,,,Y
Carl Sandburg College,Coed,,,,,,Rolling,$0,$0,,Yes,,,A,See Website,See Website,,,,,
Carleton College,Coed,11/15/2025,1/15/2026,,,,1/15/2026,$0,$0,Yes,,,,N,See Website,See Website,2,,Y,Y,Y
Carlow University,Coed,,,12/1/2025,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT with science,D or I or T,,,,,Y
Carnegie Mellon University,Coed,11/3/2025,,,,,1/5/2026,$75,$75,Yes,Yes,,Yes,S,See Website,See Website,1,,Y,Y,
Carnegie Mellon University in Qatar,Coed,11/1/2025,,,,,1/15/2026,$70,$70,,,,Yes,S,See Website,D or I or T,1,,Y,Y,
Carolina University,Coed,,,,,,7/1/2026,$0,$0,,,,,N,None,See Website,,,,,
Carroll College (Montana),Coed,,,11/1/2025,,,2/28/2026,$0,$0,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,
Carroll University,Coed,,,,,,Rolling,$0,$25,,,,,S,None,See Website,,,,,Y
Carson-Newman University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Carthage College,Coed,,,,,,Rolling,$35,$35,,,,,N,None,I or T,,,,,
Case Western Reserve University,Coed,11/1/2025,1/15/2026,11/1/2025,,,1/15/2026,$75,$0,Yes,,COL,,N,None,See Website,2,,Y,Y,Y
Catawba College,Coed,,,11/15/2025,,,2/1/2026,$0,$0,,,,,S,See Website,D or I or T,,,,,Y
Cedar Crest College,Women,,,,,,Rolling,$0,$0,Yes,,,,F,None,D or I or T,1,,,Y,Y
Cedarville University,Coed,,,,,,Rolling,$0,$0,,,,,S,None,See Website,,,,,Y
Centenary College of Louisiana,Coed,,,12/1/2025,,,2/15/2026,$0,$0,Yes,,,,F,See Website,D or I or T,1,,,Y,Y
Centenary University,Coed,,,11/1/2025,,,7/26/2026,$0,$0,,,,,N,None,D or I or T,,,,,
Central Connecticut State University,Coed,,,,,,5/1/2026,$50,$50,Yes,,,,F,See Website,D or I or T,,,,,Y
Central Michigan University,Coed,,,,,,Rolling,$40,$55,,,,,N,None,See Website,,,,,Y
Central State University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,I or T or P,,,,,
Central Washington University,Coed,,,,,,Rolling,$60,$60,,,,,F,None,I or T or P,,,,,Y
Centre College,Coed,11/1/2025,1/15/2026,11/15/2025,,,2/1/2026,$0,$0,Yes,,,,N,SAT without essay or ACT with science and writing,D or I or T or P,1,,,Y,
Chaminade University of Honolulu,Coed,,,,,,Rolling,$50,$50,,,,,N,See Website,D or I or T or P,,,,,
Champlain College,Coed,11/15/2025,,12/15/2025,,,7/29/2026,$0,$0,,,,,N,See Website,See Website,,,Y,,Y
Chapman University,Coed,11/1/2025,,11/1/2025,,,1/15/2026,$70,$70,Yes,Yes,,,S,See Website,See Website,1,,Y,,Y
Charles R. Drew University of Medicine and Science,Coed,,,,,,Rolling,$0,$0,Yes,,,,N,None,T,,,,Y,Y
Charleston Southern University,Coed,,,,,,Rolling,$25,$25,,,,,F,None,D or I or T,,,,,
Chatham University,Coed,,,11/1/2025,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
Chestnut Hill College,Coed,,,,,,Rolling,$25,$25,,,,,N,None,D or I or T,,,,,Y
Cheyney University of Pennsylvania,Coed,,,,,,Rolling,$0,$0,,,,,N,None,I or T,,,,,
Chicago State University,Coed,,,12/1/2025,,,6/1/2026,$25,$50,,,,,N,None,I or T,,,,,Y
Chowan University,Coed,,,,,,Rolling,$0,$20,,,,,N,None,See Website,,,,,
Christian Brothers University,Coed,,,,,,Rolling,$0,$0,Yes,,,,S,See Website,D or I or T or P,,,,,
Christopher Newport University,Coed,11/15/2025,,12/1/2025,,,2/1/2026,$65,$65,Yes,,SR,,S,See Website,See Website,,,Y,,
Claflin University,Coed,,,,,,4/3/2026,$0,$0,,,,,F,None,See Website,,,,,
Claremont McKenna College,Coed,11/1/2025,1/10/2026,,,,1/10/2026,$70,$70,Yes,,,,N,See Website,See Website,1,,Y,Y,
Clark Atlanta University,Coed,,,11/1/2025,,,4/15/2026,$35,$55,Yes,,,,S,None,I or T,1,,,Y,Y
Clark University,Coed,11/1/2025,1/15/2026,11/1/2025,,,1/15/2026,$0,$0,Yes,,,,N,See Website,D or I or T,1,,Y,Y,Y
Clarkson University,Coed,12/1/2025,,,,,1/15/2026,$0,$0,Yes,,,,F,None,C or D or I or T,1,,Y,Y,
Clayton State University,Coed,,,,,,7/15/2026,$40,$40,,,,,S,None,See Website,,,,,
Clemson University,Coed,,,10/15/2025,,,1/1/2026,$70,$70,,,,,N,See Website,See Website,,,,,Y
Cleveland Institute of Art,Coed,,,12/1/2025,,,3/1/2026,$0,$0,,,,,I,None,D or I or T,,,,,
Cleveland State University,Coed,,,,,,Rolling,$0,$0,,,,,F,None,See Website,,,,,Y
Coastal Carolina University,Coed,10/15/2025,,11/15/2025,,,2/1/2026,$45,$45,,,,,S,See Website,See Website,,,,,
Coe College,Coed,11/15/2025,,12/10/2025,,,3/1/2026,$0,$0,,,,,S,See Website,D or I or T,,,,,Y
Coker University,Coed,,,,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,I or T,,,,,
Colby College,Coed,11/15/2025,1/10/2026,,,,1/10/2026,$0,$0,Yes,,,,N,See Website,See Website,2,,,Y,
Colby-Sawyer College,Coed,,,12/15/2025,,,7/28/2026,$0,$0,Yes,,,,N,None,See Website,,,,,Y
Colgate University,Coed,11/1/2025,1/15/2026,,,,1/15/2026,$60,$0,Yes,,,,N,See Website,See Website,2,,Y,Y,
College for Creative Studies,Coed,,,12/1/2025,,,2/1/2026,$0,$0,,,,,N,None,C or D or I or T or P,,,,,Y
College of Charleston,Coed,11/1/2025,1/15/2026,11/1/2025,,,4/15/2026,$60,$60,,,,,S,See Website,See Website,,,Y,,Y
College of DuPage,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,
College of Saint Benedict,Coordinate,,,11/1/2025,12/1/2025,,1/15/2026,$0,$0,,,,,S,See Website,D or I or T or P,,,,,
College of Saint Mary,Women,,,,,,Rolling,$0,$75,,,,,F,None,See Website,,,,,
College of the Atlantic,Coed,11/15/2025,1/15/2026,12/1/2025,,,2/1/2026,$0,$0,Yes,,,,N,None,D or I or T,1,,Y,Y,
College of the Holy Cross,Coed,11/15/2025,1/15/2026,,,,1/15/2026,$60,$60,Yes,,SR,,N,See Website,See Website,1,,Y,Y,Y
College of Wooster,Coed,11/1/2025,1/15/2026,12/10/2025,,,2/15/2026,$0,$0,Yes,,,,N,See Website,See Website,1,,,Y,
Colorado College,Coed,11/1/2025,1/15/2026,11/1/2025,,,1/15/2026,$0,$0,Yes,,,,N,None,See Website,2,,Y,,
Colorado School of Mines,Coed,,,11/1/2025,,,1/15/2026,$50,$75,,,,,N,None,See Website,,,,,
Colorado State University,Coed,,,11/15/2025,,,1/15/2026,$50,$50,Yes,,,,N,None,See Website,,,,,Y
Colorado State University Pueblo,Coed,,,,,,Rolling,$25,$25,,,,,S,See Website,See Website,,,,,
Columbia College (SC),Coed,,,,,,Rolling,$0,$0,,,,,F,See Website,See Website,,,,,
Columbia College Chicago,Coed,,,,,,Rolling,$0,$0,,,,,I,None,See Website,,,,,
Columbia College Missouri,Coed,,,,,,Rolling,$0,$15,,,,,F,None,D or I or T or P,,,,,Y
Columbia University,Coed,11/1/2025,,,,,1/1/2026,$85,$85,Yes,,SR,Yes,N,See Website,C or D or I or T,2,,Y,Y,Y
Columbus College of Art & Design,Coed,,,,,,Rolling,$50,$50,,,,,N,None,D or I or T or P,,,,,Y
Concord University,Coed,,,,,,Rolling,$0,$0,,,,,F,None,D or I or T or P,,,,,
Concordia College at Moorhead,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,Y
Concordia University Chicago,Coed,,,,,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Concordia University Irvine,Coed,,,11/15/2025,2/15/2026,,Rolling,$0,$0,,,,,N,None,See Website,,,,,
Concordia University Texas,Coed,,,,,,Rolling,$25,$50,,,,,F,None,I or T,,,,,
Concordia University Wisconsin,Coed,,,,,,Rolling,$0,$15,,,,,N,None,See Website,,,,,Y
"Concordia University, St. Paul",Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,
Connecticut College,Coed,11/15/2025,1/15/2026,,,,1/15/2026,$0,$0,Yes,,,,N,See Website,See Website,1,,Y,Y,
Converse University,Coed,,,11/1/2025,,,Rolling,$0,$0,,,,,N,None,D or I or T,,,,,
Cooper Union for the Advancement of Science & Art,Coed,,,,,,1/5/2026,$75,$75,Yes,,,,S,See Website,See Website,1,,Y,Y,Y
Coppin State University,Coed,,,,,,Rolling,$0,$0,,,,,F,None,D or I or T,,,,,Y
Cornell College,Coed,,,,,,2/1/2026,$0,$0,,,,,N,None,See Website,,,,,Y
Cornell University,Coed,11/1/2025,,,,,1/2/2026,$85,$85,Yes,,,Yes,A,See Website,See Website,2,,Y,Y,Y
Cornerstone University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T,,,,,Y
Cottey College,Women,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T or P,,,,,Y
Covenant College,Coed,,,11/10/2025,,,3/1/2026,$35,$35,,,,,F,See Website,See Website,,,,,Y
Creighton University,Coed,,,11/1/2025,,,Rolling,$0,$0,Yes,,,,S,None,See Website,,,,Y,Y
Culver-Stockton College,Coed,,,,,,Rolling,$0,$0,,,,,S,See Website,See Website,,,,,
Cumberland University,Coed,,,,,,Rolling,$25,$25,,,,,S,None,D or I or T,,,,,
CUNEF Universidad,Coed,,,,,,7/27/2026,$75,$75,,,,,N,See Website,See Website,,,,Y,
Curry College,Coed,,,12/15/2025,,,Rolling,$50,$50,Yes,,SR,,N,See Website,D or I or T,1,,,Y,Y
D'Youville University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,D or I or T or P,,,,,Y
Daemen University,Coed,,,11/1/2025,,,Rolling,$0,$50,Yes,,,,N,See Website,D or I or T,,,,,Y
Dallas Baptist University,Coed,,,,,,Rolling,$0,$0,,,,,N,None,C or D or I or T or P,,,,,
Dartmouth College,Coed,11/1/2025,,,,,1/1/2026,$85,$85,Yes,,,Yes,A,See Website,C or D or I or T,2,,Y,Y,
Davenport University,Coed,,,,,,Rolling,$0,$0,,,,,F,None,D or I or T or P,,,,,
Davidson College,Coed,11/15/2025,1/5/2026,,,,1/12/2026,$50,$0,Yes,,,Yes,N,See Website,D or I or T,2,,Y,Y,
Dean College,Coed,,,11/1/2025,12/1/2025,,Rolling,$0,$0,,,,,N,None,I or T or P,,,,,Y
Defiance College,Coed,,,,,,Rolling,$0,$0,Yes,,,,N,None,D or T,,,,,Y
Delaware State University,Coed,,,,,,5/1/2026,$35,$35,,,,,F,See Website,See Website,,,Y,,
Delaware Valley University,Coed,,,,,,Rolling,$0,$0,Yes,,,,N,None,I or T,,,,Y,Y
Denison University,Coed,11/15/2025,1/15/2026,,,,1/15/2026,$0,$0,Yes,,COL,,N,See Website,D or I or T,1,,,Y,Y
DePaul University,Coed,,,11/15/2025,,,2/1/2026,$0,$0,,,,,N,See Website,See Website,,,,,Y
DePauw University,Coed,11/1/2025,12/15/2025,11/1/2025,12/15/2025,,2/1/2026,$0,$0,Yes,,,,N,None,C or D or I or T or P,1,,,,Y
DeSales University,Coed,,,,,,Rolling,$0,$0,Yes,,,,N,None,See Website,,,,,Y
Dharma Realm Buddhist University,Coed,,,11/15/2025,,,1/15/2026,$0,$0,Yes,,,,N,None,See Website,,,,,Y
Dickinson College,Coed,11/15/2025,1/15/2026,,,,1/15/2026,$65,$65,Yes,,SR,,N,See Website,See Website,1,,Y,Y,
Dillard University,Coed,,,,,,Rolling,$40,$60,,,,,N,SAT without essay or ACT without science or writing,See Website,,,,,Y
Dominican University (IL),Coed,,,,,,Rolling,$0,$0,Yes,,,,N,None,See Website,,,,,
Dominican University New York,Coed,,,,,,Rolling,$40,$40,,,,,S,None,D or I or T,,,Y,,Y
Dominican University of California,Coed,,,,,,Rolling,$0,$0,Yes,,,,S,See Website,See Website,,,,,
Drake University,Coed,,,,,,Rolling,$0,$50,,,,,N,None,See Website,,,,,
Drew University,Coed,11/1/2025,1/15/2026,12/15/2025,,,7/28/2026,$40,$40,Yes,,,,S,See Website,See Website,,,,Y,Y
Drexel University,Coed,11/15/2025,,11/15/2025,,,1/15/2026,$65,$65,Yes,,,Yes,S,See Website,C or D or I or T or P,1,,,Y,Y
Drury University,Coed,,,10/15/2025,,,Rolling,$0,$0,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,Y
Dublin City University,Coed,,,,,,Rolling,$50,$50,,,,,S,SAT without essay or ACT without science or writing,See Website,,,,,
Duke Kunshan University,Coed,11/3/2025,,,,,1/5/2026,$0,$0,Yes,,,,F,See Website,See Website,2,,Y,Y,Y
Duke University,Coed,11/3/2025,,,,,1/5/2026,$85,$85,Yes,,SR,,N,See Website,See Website,2,,Y,Y,Y
Duquesne University,Coed,,,11/15/2025,,,1/15/2026,$0,$0,,,,,S,See Website,See Website,,,,,Y
Earlham College,Coed,11/15/2025,,11/15/2025,12/15/2025,,2/2/2026,$0,$0,Yes,,,,N,None,See Website,1,,Y,,Y
East Carolina University,Coed,,,,,,Rolling,$75,$75,Yes,,,,S,See Website,See Website,,,,,Y
East Central University,Coed,,,,,,Rolling,$20,$75,,,,,F,None,I or T or P,,,,,
East Stroudsburg University of Pennsylvania,Coed,,,,,,Rolling,$25,$25,,,,,N,See Website,See Website,,,,,
