lovingly made by Lilliane,,,,
Item (English),Item (Tiếng Việt),Mua ở đâu,Giá ước tính (USD),Ghi Chú
File Folders or Binders,Bìa đựng tài liệu hoặc cặp tài liệu,Mang từ nhà/Mua ở Walmart/Target/Online,10 - 25,
Book Light (Optional),Đèn đọc sách (tùy chọn),Walmart/Target/Online,10 - 20,
C. QUẦN ÁO,,,,
Everyday Clothes,Quần áo mặc hàng ngày,Mang từ nhà/Mua ở Walmart/Target/Online,Varies,
Sweaters/Hoodies/Sweatshirts,Áo len/áo hoodie/áo nỉ,Mang từ nhà/Mua ở Walmart/Target/Online,Varies,
Underwear /Socks,Đồ lót và tất (vớ),Mang từ nhà/Mua ở Walmart/Target/Online,Varies,
Pajamas /Loungewear,Đồ ngủ và đồ mặc ở nhà,Mang từ nhà/Mua ở Walmart/Target/Online,Varies,
Athletic Clothes /Sneakers/Running Shoes,Quần áo thể thao và giày thể thao,Mang từ nhà/Mua ở Walmart/Target/Online,Varies,
Dressy Outfit,Quần áo lịch sự,Mang từ nhà/Cửa hàng bách hóa/Online,Varies,
Formal Suit,Trang phục trang trọng ,Mang từ nhà/Cửa hàng bách hóa/Online,Varies,
Swimsuit (Optional),Đồ bơi (tùy chọn),Mang từ nhà/Mua ở Walmart/Target/Online,Varies,
Coats /Jackets,Áo khoác các loại,Mang từ nhà/Cửa hàng bách hóa/Online,Varies,
Rain Boots (Optional),Ủng đi mưa (tùy chọn),Mang từ nhà/Mua ở Walmart/Target/Online,Varies,
Sandals or Slippers,Dép đi trong nhà,Mang từ nhà/Mua ở Walmart/Target/Online,Varies,
Boots (if needed for winter),Ủng (nếu cần cho mùa đông),Mang từ nhà/Cửa hàng giày dép/Online,Varies,
Accessories,Phụ kiện,Mang từ nhà/Mua ở Walmart/Target/Online,Varies,
D. Đồ dùng vệ sinh cá nhân và chăm sóc cá nhân,,,,
Shampoo,Dầu gội,Walmart/Target/Hiệu Thuốc,5 - 15,
Conditioner,Dầu xả,Walmart/Target/Hiệu Thuốc,5 - 15,
Body Wash or Bar Soap,Sữa tắm hoặc xà phòng cục,Walmart/Target/Hiệu Thuốc,3 - 10,
Loofah or Washcloths,Bông tắm hoặc khăn kì người ,Walmart/Target/Hiệu Thuốc,3 - 10,
Razor /Shaving Cream,Dao cạo và kem cạo râu,Walmart/Target/Hiệu Thuốc,10 - 20,
Toothbrush,Bàn chải đánh răng,Walmart/Target/Hiệu Thuốc,3 - 10,
Toothpaste,Kem đánh răng,Walmart/Target/Hiệu Thuốc,3 - 10,
Dental Floss,Chỉ nha khoa,Walmart/Target/Hiệu Thuốc,3 - 10,
Mouthwash (Optional),Nước súc miệng (tùy chọn),Walmart/Target/Hiệu Thuốc,5 - 10,
Hairbrush or Comb,Lược chải tóc,Walmart/Target/Hiệu Thuốc,5 - 15,
Hair Dryer,Máy sấy tóc,Walmart/Target/Online,15 - 30,
Hair Styling Products (if used),Sản phẩm tạo kiểu tóc,Walmart/Target/Hiệu Thuốc,5 - 20,
Hair Ties /Clips,Dây buộc tóc và kẹp tóc,Walmart/Target/Hiệu Thuốc,5 - 10,
Hair Straightener or Curling Iron (if used),Máy là tóc hoặc máy uốn tóc,Walmart/Target/Online,20 - 50,
Face Wash,Sữa rửa mặt,Walmart/Target/Hiệu Thuốc,5 - 15,
Moisturizer,Kem dưỡng ẩm,Walmart/Target/Hiệu Thuốc,10 - 25,
Sunscreen,Kem chống nắng,Walmart/Target/Hiệu Thuốc,10 - 20,
Lip Balm,Son dưỡng môi,Walmart/Target/Hiệu Thuốc,3 - 10,
Other Skincare Products (if used),Sản phẩm chăm sóc da khác,Walmart/Target/Hiệu Thuốc,Varies,
Feminine Hygiene Products,Sản phẩm vệ sinh phụ nữ,Walmart/Target/Hiệu Thuốc,10 - 20,
Deodorant,Chất khử mùi,Walmart/Target/Hiệu Thuốc,5 - 10,
Nail Clippers,Bấm móng tay,Walmart/Target/Hiệu Thuốc,3 - 10,
Nail File,Dũa móng tay,Walmart/Target/Hiệu Thuốc,3 - 10,
Tweezers,Nhíp,Walmart/Target/Hiệu Thuốc,5 - 10,
Cotton Swabs,Tăm bông,Walmart/Target/Hiệu Thuốc,3 - 10,
Cotton Balls,Bông tẩy trang,Walmart/Target/Hiệu Thuốc,3 - 10,
H/Sanitizer,Nước rửa tay khô,Walmart/Target/Hiệu Thuốc,3 - 10,
Makeup /Makeup Remover (if used),Đồ trang điểm và tẩy trang,Walmart/Target/Hiệu Thuốc/Beauty Stores,Varies,
Perfume (Optional),Nước hoa (tùy chọn),Department Stores/Beauty Stores,Varies,
Contact Lenses /Solution (if applicable),Kính áp tròng và dung dịch,Optician/Online,Varies,
Glasses (if applicable),Kính mắt (nếu cần),Optician,Varies,
H/Mirror,Gương cầm tay,Walmart/Target/Hiệu Thuốc,5 - 10,
Travel Soap Container,Hộp đựng xà phòng du lịch,Walmart/Target/Hiệu Thuốc,3 - 10,
E. THUỐC THANG - mang vừa đủ lượng dùng trong 2-3 tháng đầu và dự phòng/không mang quá nhiều,,,,
Over-the-Counter (OTC) Meds,Thuốc không kê đơn,Hiệu Thuốc,20 - 60,
Pain & Fever Reducers,Thuốc giảm đau/hạ sốt,Hiệu Thuốc,5 - 15,
Allergy Medicine,Thuốc dị ứng,Hiệu Thuốc,10 - 25,
Cold & Flu Medicine,Thuốc cảm cúm,Hiệu Thuốc,8 - 15,
Motion sickness medicine,Thuốc say tàu xe,Hiệu Thuốc,5 - 12,
Stomach & Digestive Aids,Thuốc tiêu hóa,Hiệu Thuốc,5 - 12,
Medicated Oil/Balm,Dầu gió/dầu cù là,Hiệu Thuốc,3 - 5,
Topical Creams,Kem bôi ngoài da,Hiệu Thuốc,5 - 15,
Prescription Medications,Thuốc kê đơn,Depends on the Medications,Varies,
Personal Prescriptions,Thuốc đặc trị theo đơn,Mang từ nhà,Varies,
Doctor's Note/Prescription,Đơn thuốc/Giấy tờ của bác sĩ,,Chi phí dịch thuật (nếu cần),
Medical Records/Vaccination History,Hồ sơ y tế/Lịch sử tiêm chủng,,Chi phí photo/dịch thuật,
